id,verse,token,lemma,mood,number,NEG,RES,ACT,DUR,CONF,GNO,HAB,ITER,STAT,CON,TEL
638803,ROM 12.19,gibiþ,giban,imperative,plural,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638827,ROM 12.20,gif,giban,imperative,singular,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638834,ROM 12.20,dragkei,dragkjan,imperative,singular,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638848,ROM 12.21,gajiukaizau,ga-jiukan,optative,singular,TRUE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,NA,TRUE
638853,ROM 12.21,gajiukais,ga-jiukan,optative,singular,FALSE,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638915,ROM 13.3,taujais,taujan,optative,singular,FALSE,FALSE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638935,ROM 13.4,ogs,ogan*,imperative,singular,FALSE,FALSE,NA,FALSE,TRUE,TRUE,NA,FALSE,NA,FALSE,FALSE
638957,ROM 13.5,ufhausjaiþ,uf-hausjan,optative,plural,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638985,ROM 13.7,usgibiþ,us-giban,imperative,plural,FALSE,TRUE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
639010,ROM 13.8,sijaiþ,wisan-1,optative,plural,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,TRUE
639030,ROM 13.9,horinos,horinon,optative,singular,TRUE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
639033,ROM 13.9,maurþrjais,maurþrjan,optative,singular,TRUE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
639036,ROM 13.9,hlifais,hlifan,optative,singular,TRUE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
639039,ROM 13.9,faihugeigais,faihu-geigan,optative,singular,TRUE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,NA,FALSE
639055,ROM 13.9,frijos,frijon,optative,singular,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,FALSE
639138,ROM 13.14,gahamoþ,ga-hamon,optative/imperative,plural,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
639147,ROM 13.14,taujaiþ,taujan,optative,plural,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,NA,NA,TRUE
639154,ROM 14.1,andnimaiþ,and-niman,optative,plural,FALSE,TRUE,FALSE,FALSE,NA,TRUE,NA,FALSE,FALSE,NA,TRUE
639300,ROM 14.13,stojaiþ,stojan,optative,plural,NA,NA,FALSE,FALSE,FALSE,TRUE,NA,FALSE,NA,TRUE,NA
639356,ROM 14.15,fraqistjais,fra-qistjan,optative,singular,TRUE,NA,FALSE,FALSE,NA,TRUE,NA,FALSE,FALSE,TRUE,TRUE
639421,ROM 14.20,gatair,ga-tairan,imperative,singular,TRUE,NA,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
639487,ROM 15.7,andnimaiþ,and-niman,optative,plural,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,NA,TRUE,TRUE
639543,ROM 15.10,sifaiþ,sifan,optative/imperative,plural,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE
639553,ROM 15.11,hazjiþ,hazjan,imperative,plural,FALSE,TRUE,NA,FALSE,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
668678,1COR 5.7,ushraineiþ,us-hrainjan,imperative,plural,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
668730,1COR 5.9,blandaiþ,blandan,optative,plural,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,NA,TRUE,FALSE
668807,1COR 5.13,usnimiþ,us-niman,imperative,plural,FALSE,TRUE,NA,FALSE,NA,TRUE,NA,FALSE,FALSE,TRUE,TRUE
669161,1COR 7.21,karos,karon,optative,singular,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,TRUE,FALSE,FALSE
669170,1COR 7.21,brukei,brūkjan,imperative,singular,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
669199,1COR 7.23,wairþaiþ,wairþan,optative,plural,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,TRUE
669258,1COR 7.27,sokei,sokjan,imperative,singular,TRUE,FALSE,FALSE,FALSE,NA,TRUE,NA,FALSE,FALSE,TRUE,TRUE
669266,1COR 7.27,sokei,sokjan,imperative,singular,TRUE,FALSE,FALSE,FALSE,NA,TRUE,NA,FALSE,FALSE,TRUE,TRUE
669506,1COR 9.9,faurmuljais,faur-mūljan,optative,singular,TRUE,FALSE,NA,TRUE,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
669620,1COR 9.24,rinnaiþ,rinnan,optative,plural,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,NA,TRUE,NA
669733,1COR 10.15,domeiþ,domjan,imperative,plural,FALSE,TRUE,NA,FALSE,NA,NA,NA,FALSE,FALSE,TRUE,TRUE
669779,1COR 10.18,saiƕiþ,saiƕan,imperative,plural,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE
669894,1COR 10.25,matjaiþ,matjan,optative,plural,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
669925,1COR 10.27,matjaiþ,matjan,optative,plural,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
669943,1COR 10.28,matjaiþ,matjan,optative,plural,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
670003,1COR 10.31,taujaiþ,taujan,optative,plural,FALSE,NA,FALSE,FALSE,FALSE,TRUE,NA,FALSE,NA,TRUE,NA
670006,1COR 10.32,sijaiþ,wisan-1,optative,plural,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,FALSE
670038,1COR 11.1,wairþaiþ,wairþan,optative,plural,FALSE,NA,FALSE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,TRUE
670215,1COR 11.24,nimiþ,niman,imperative,plural,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
670217,1COR 11.24,matjiþ,matjan,imperative,plural,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
670782,1COR 14.20,sijaiþ,wisan-1,optative,plural,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA
671484,1COR 15.33,afairzjaindau,af-airzjan,optative,plural,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,NA,TRUE,TRUE
671492,1COR 15.34,usskarjiþ,us-skarjan,imperative,plural,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
671497,1COR 15.34,frawaurkjaid,fra-waurkjan,optative,plural,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
671705,1COR 15.58,wairþiþ,wairþan,imperative,plural,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,NA,TRUE
671739,1COR 16.1,taujiþ,taujan,imperative,plural,FALSE,NA,FALSE,FALSE,NA,TRUE,NA,FALSE,FALSE,TRUE,NA
671868,1COR 16.10,saiƕiþ,saiƕan,imperative,plural,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
671923,1COR 16.13,wakaiþ,wakan,optative,plural,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,TRUE,TRUE,FALSE
671924,1COR 16.13,standaid,standan,optative,plural,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,TRUE,TRUE,FALSE
671930,1COR 16.13,taujaiþ,taujan,optative,plural,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,FALSE
671933,1COR 16.13,sijaiþ,wisan-1,optative,plural,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,TRUE,TRUE,FALSE
672000,1COR 16.18,ufkunnaiþ,uf-kunnan,optative/imperative,plural,FALSE,TRUE,NA,FALSE,NA,TRUE,NA,FALSE,FALSE,TRUE,TRUE
672033,1COR 16.20,goleiþ,goljan,imperative,plural,FALSE,TRUE,TRUE,FALSE,NA,FALSE,NA,FALSE,FALSE,TRUE,TRUE
663785,2COR 2.7,fragiban,fra-giban,infinitive,NA,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,FALSE,FALSE,NA,TRUE
663787,2COR 2.7,gaþlaihan,ga-þláihan,infinitive,NA,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,FALSE,FALSE,TRUE,TRUE
665199,2COR 6.13,urrumnaiþ,ur-rūmnan,optative,plural,FALSE,TRUE,TRUE,FALSE,TRUE,NA,NA,FALSE,NA,TRUE,NA
665204,2COR 6.14,wairþaiþ,wairþan,optative,plural,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
